FID,Eastings,Northings,LST,NDVI,NDMI
0,667759.1603,1410456.418,31.8973007,0.0645634,-0.0806908
1,667970.2328,1410159.893,32.2456017,0.173336,-0.0951205
2,668100.4408,1410251.599,31.9085007,0.0961745,-0.0637587
3,668075.4149,1410344.91,31.6427002,0.174357,-0.0804157
4,668321.5382,1409718.525,32.0252991,0.102667,-0.181689
5,667913.7719,1409919.648,31.8658009,0.0760662,-0.0967081
6,667943.9127,1410214.627,31.8476009,0.127002,-0.0701182
7,668057.0379,1410416.025,32.2160988,0.283468,-0.011355
8,668227.819,1409188.189,32.460701,0.19693,-0.0692755
9,668150.4281,1409221.976,32.5167999,-0.0095906,-0.201368
10,668335.4245,1408983.269,33.0306015,0.146616,-0.133875
11,668281.9067,1409211.257,32.5637016,0.105118,-0.117655
12,668041.4255,1408902.096,32.7402992,0.135334,-0.103808
13,668098.2329,1408852.982,32.7448997,0.0703631,-0.168831
14,668059.2377,1409214.78,32.2745018,0.0815302,-0.123693
15,667958.5932,1409298.37,32.7582016,0.0352561,-0.11896
16,667787.1649,1407666.149,30.4440002,0.140716,-0.106947
17,667716.662,1408147.305,32.1646004,0.131123,-0.0662526
18,668101.5346,1407822.736,31.1294994,0.196746,-0.133187
19,667865.2614,1407727.745,31.0004005,0.155061,-0.0962545
20,668178.2359,1408934.218,33.1932983,0.100171,-0.116885
21,668257.5892,1408986.599,32.9458008,-0.0528578,-0.13586
22,667762.3158,1408190.739,32.8652992,0.13896,-0.140604
23,667814.284,1408380.636,32.9413986,0.126535,-0.137242
24,668034.3548,1408223.477,33.0060005,0.0921529,-0.151769
25,667930.6214,1408030.016,33.7463989,0.148301,-0.161124
26,668076.1905,1408498.823,33.0796013,0.142686,-0.127347
27,664080.5801,1405677.042,33.6553993,0.132802,-0.0912329
28,664230.3359,1405620.52,33.6579018,0.0790279,-0.155373
29,664246.3945,1405805.458,33.3997993,0.166291,-0.118011
30,664113.3136,1405756.261,33.1996994,0.162358,-0.0900014
31,663414.6423,1403673.808,32.0746002,0.288056,-0.0685613
32,663390.367,1403728.706,32.1039009,0.182621,-0.0887519
33,663496.6934,1403607.803,32.1487999,0.101361,-0.0996739
34,663472.7127,1403644.921,32.2229004,0.119755,-0.100939
35,655750.6487,1394968.668,33.4313011,0.0335673,-0.202965
36,656152.8031,1395360.865,32.2048988,0.138079,-0.0462334
37,655570.6031,1394926.349,32.4090996,0.146773,-0.130014
38,655661.8312,1394893.047,32.9077988,0.0932408,-0.18566
39,664408.2946,1405891.321,33.6090012,0.136524,-0.1405
40,664269.6452,1405884.704,33.2955017,0.244881,-0.0954313
41,656143.7831,1395213.579,34.2531013,0.149274,-0.15444
42,664321.0345,1406036.255,33.4645996,0.202743,-0.134362
43,654930.3112,1395151.794,26.6877003,0.1965,-0.0898568
44,654823.4349,1395160.236,27.2569008,0.238744,-0.104731
45,655827.5067,1395906.996,31.3241997,0.229951,-0.0741059
46,655206.1372,1395106.255,27.0811996,0.313409,0.0294344
47,655971.9205,1394744.903,33.9216003,0.103402,-0.154496
48,656064.1138,1395536.049,32.4247017,0.139417,-0.0967024
49,655088.0597,1395124.095,26.9876995,0.181102,-0.101318
50,655143.3232,1395040.367,29.2768993,0.305426,0.0772429
51,655388.7365,1395373.311,28.5258007,0.29534,-0.0359675
52,655338.4039,1395222.984,29.0519009,0.289951,0.0431359
53,655075.5119,1395381.279,30.5646,0.134384,-0.13914
54,655235.747,1395363.786,29.2933998,0.188025,-0.027142
55,655852.92,1395394.476,32.3843002,0.137408,-0.0693823
56,656404.0769,1395391.829,32.7202988,0.14781,-0.105819
57,655368.1082,1394723.726,33.3757019,0.106889,-0.164055
58,655730.0035,1395253.689,32.7470016,0.0983184,-0.139202
59,656849.0721,1396676.152,33.0994987,0.13692,-0.144485
60,656931.9658,1396828.161,31.8451004,0.157352,-0.058267
61,657234.3239,1397323.503,29.5597992,0.201284,-0.100761
62,657165.0691,1397152.404,30.9596004,0.155142,-0.0953984
63,655161.129,1394795.245,33.0796013,0.138753,-0.14322
64,654999.6947,1394998.863,28.8792,0.270211,-0.0032387
65,656836.7621,1396991.771,31.1252003,0.164792,-0.0785328
66,657044.9168,1397007.43,31.7798996,0.199658,-0.0647875
67,658319.1914,1398038.751,34.1693001,0.122907,-0.167959
68,658404.8711,1398141.656,32.5479012,0.10077,-0.0798923
69,658020.1751,1397743.407,33.3200989,0.108039,-0.144846
