FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
0,667759.1603,1410456.418,70,25.5909004,0.134806,-0.0512576
1,667970.2328,1410159.893,79,25.3892994,0.188839,-0.0426211
2,668100.4408,1410251.599,80,26.0897999,0.289951,0.0263113
3,668075.4149,1410344.91,75,26.1040001,0.14367,-0.032491
4,668321.5382,1409718.525,75,25.6404991,0.197746,-0.105824
5,667913.7719,1409919.648,80,25.6478004,0.165878,-0.0614777
6,667943.9127,1410214.627,76,25.6476002,0.313187,0.0170213
7,668057.0379,1410416.025,72,25.8560009,0.31406,0.0036802
8,668227.819,1409188.189,82,25.8087006,0.183682,-0.0504722
9,668150.4281,1409221.976,95,25.9032993,0.130396,-0.143339
10,668335.4245,1408983.269,72,25.7919998,0.267491,0.0070185
11,668281.9067,1409211.257,85,26.0048008,0.226974,-0.0552918
12,668041.4255,1408902.096,85,26.1086006,0.25109,-0.0418485
13,668098.2329,1408852.982,92,26.1392994,0.26423,-0.0697177
14,668059.2377,1409214.78,85,25.8889999,0.339802,0.0049043
15,667958.5932,1409298.37,85,26.2171001,0.186349,-0.0625
16,667787.1649,1407666.149,85,23.7805996,0.293958,0.0655398
17,667716.662,1408147.305,85,26.2029991,0.182376,-0.0493479
18,668101.5346,1407822.736,85,23.8936996,0.35939,0.0225592
19,667865.2614,1407727.745,75,24.2345009,0.338272,0.0146013
20,668178.2359,1408934.218,70,26.0449009,0.18322,-0.0458617
21,668257.5892,1408986.599,74,25.9386997,0.185366,-0.0949721
22,667762.3158,1408190.739,82,26.0447998,0.328007,0.0013904
23,667814.284,1408380.636,85,25.5907001,0.336152,0.0346778
24,668034.3548,1408223.477,75,25.1704998,0.304381,0.0014819
25,667930.6214,1408030.016,75,24.3614006,0.385142,0.0333433
26,668076.1905,1408498.823,85,25.1182003,0.239866,0.0065271
27,664080.5801,1405677.042,86,26.191,0.276812,0.0190862
28,664230.3359,1405620.52,76,26.5139008,0.220413,-0.0858816
29,664246.3945,1405805.458,71,25.6616993,0.302232,-0.0490628
30,664113.3136,1405756.261,67,25.4081001,0.410448,0.0834395
31,663414.6423,1403673.808,62,26.0683994,0.390833,0.0136654
32,663390.367,1403728.706,43,25.9409008,0.338518,-0.0182222
33,663496.6934,1403607.803,65,26.0944004,0.370082,0.0680511
34,663472.7127,1403644.921,58,26.2287998,0.264085,-0.0394645
35,655750.6487,1394968.668,67,26.1746006,0.319067,-0.0875617
